"combination","mtry","nodesize","ntree","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1188,13,110,3000,0.670136029133512,0.864,0.245011484844774,0.833401338214872,0.666802676429744,0.833401338214872,0.858666666666667,0.247499022820855,0.832868686868687,0.665737373737374,0.832868686868687
1189,14,110,3000,0.670201994936343,0.864666666666667,0.249408854225644,0.835603122501368,0.671206245002735,0.835603122501368,0.848,0.250319703952646,0.829707070707071,0.659414141414141,0.829707070707071
1190,15,110,3000,0.693319174190729,0.854,0.253827652546448,0.833792071708118,0.667584143416235,0.833792071708118,0.829333333333333,0.251687802406584,0.823555555555555,0.647111111111111,0.823555555555556
1191,2,120,3000,0.613126743560778,0.885333333333333,0.265668782481147,0.851693304717418,0.703386609434836,0.851693304717418,0.909333333333333,0.275822287562426,0.865121212121212,0.730242424242424,0.865121212121212
1192,3,120,3000,0.605185023287444,0.872,0.27453050865617,0.850392122206792,0.700784244413584,0.850392122206792,0.888,0.27891129418885,0.858292929292929,0.716585858585858,0.858292929292929
1193,4,120,3000,0.610478317157185,0.898,0.260188155613379,0.853936245423558,0.707872490847115,0.853936245423558,0.893333333333333,0.262283297933886,0.853080808080808,0.706161616161616,0.853080808080808
1194,5,120,3000,0.59876485084262,0.874666666666667,0.267601540870259,0.848796532424357,0.697593064848714,0.848796532424357,0.872,0.269783800450296,0.848474747474748,0.696949494949495,0.848474747474747
1195,6,120,3000,0.598967761241809,0.893333333333333,0.252329514655008,0.847449396120018,0.694898792240037,0.847449396120018,0.888,0.253113147869527,0.846020202020202,0.692040404040404,0.846020202020202
1196,7,120,3000,0.613190250090239,0.872666666666667,0.263443838054945,0.846231073517654,0.692462147035307,0.846231073517654,0.872,0.267477597019714,0.847717171717172,0.695434343434343,0.847717171717172
1197,8,120,3000,0.63224920104466,0.864666666666667,0.2610973910207,0.841839708790978,0.683679417581955,0.841839708790978,0.874666666666667,0.266327657591738,0.848141414141414,0.696282828282828,0.848141414141414
1198,9,120,3000,0.633862990910718,0.847333333333333,0.265176833896884,0.837212936077095,0.674425872154189,0.837212936077095,0.864,0.274425395322068,0.847555555555555,0.695111111111111,0.847555555555555
1199,10,120,3000,0.640152536077063,0.859333333333333,0.25702441073513,0.837973698607078,0.675947397214157,0.837973698607078,0.864,0.264186570688737,0.843515151515151,0.687030303030303,0.843515151515151
1200,11,120,3000,0.643513560326765,0.860666666666667,0.254836542464505,0.837062281698439,0.674124563396877,0.837062281698439,0.856,0.261997335703557,0.83840404040404,0.676808080808081,0.83840404040404
1201,12,120,3000,0.637939052052121,0.872,0.243974560789907,0.835545511930312,0.671091023860624,0.835545511930312,0.877333333333333,0.249645483704049,0.840888888888889,0.681777777777778,0.840888888888889
1202,13,120,3000,0.679846606138999,0.861333333333333,0.249471006787369,0.834252072549762,0.668504145099524,0.834252072549762,0.856,0.251160218803186,0.833606060606061,0.667212121212121,0.833606060606061
1203,14,120,3000,0.667996627893753,0.866666666666667,0.249679785745471,0.836426377140933,0.672852754281867,0.836426377140933,0.853333333333333,0.251135715654616,0.832171717171717,0.664343434343434,0.832171717171717
1204,15,120,3000,0.682750843283358,0.86,0.249982693863365,0.834544880696882,0.669089761393764,0.834544880696882,0.84,0.249801215819522,0.826818181818182,0.653636363636364,0.826818181818182
1205,2,130,3000,0.618917949622325,0.876666666666667,0.273252671448974,0.851627109371712,0.703254218743425,0.851627109371712,0.893333333333333,0.280883366512374,0.861212121212121,0.722424242424242,0.861212121212121
1206,3,130,3000,0.592031257055961,0.881333333333333,0.266634241726757,0.850703278205614,0.701406556411228,0.850703278205614,0.896,0.273683888286175,0.859515151515152,0.719030303030303,0.859515151515152
1207,4,130,3000,0.629734306167147,0.875333333333333,0.279127405537761,0.853447502419728,0.706895004839456,0.853447502419728,0.888,0.284329435962517,0.860616161616162,0.721232323232323,0.860616161616162
1208,5,130,3000,0.587173900773147,0.892,0.254462316303494,0.848348188360056,0.696696376720111,0.848348188360056,0.890666666666667,0.254384585584712,0.848010101010101,0.696020202020202,0.848010101010101
1209,6,130,3000,0.587015122504005,0.898,0.246101397003864,0.84652556495392,0.69305112990784,0.84652556495392,0.888,0.246944551281812,0.843343434343434,0.686686868686869,0.843343434343434
1210,7,130,3000,0.62116281140607,0.870666666666667,0.265535347622139,0.846304170348862,0.692608340697723,0.846304170348862,0.864,0.267313997941645,0.844373737373737,0.688747474747475,0.844373737373737
1211,8,130,3000,0.627955014154372,0.866,0.260792653243644,0.842203383411186,0.684406766822371,0.842203383411186,0.874666666666667,0.268034320960537,0.84910101010101,0.69820202020202,0.84910101010101
1212,9,130,3000,0.653289546314345,0.838,0.276392228028027,0.838707107688423,0.677414215376846,0.838707107688423,0.842666666666667,0.281960660675854,0.842444444444444,0.684888888888889,0.842444444444444
1213,10,130,3000,0.615435782175307,0.873333333333333,0.247349598241459,0.837651390817658,0.675302781635315,0.837651390817658,0.874666666666667,0.25354603449744,0.841777777777778,0.683555555555556,0.841777777777778
1214,11,130,3000,0.676819359058835,0.838666666666667,0.272262024311936,0.83689424735934,0.67378849471868,0.83689424735934,0.84,0.275396565757321,0.838888888888889,0.677777777777778,0.838888888888889
1215,12,130,3000,0.641085288033807,0.866666666666667,0.250085531626189,0.835984513739848,0.671969027479695,0.835984513739848,0.872,0.255367802824667,0.84110101010101,0.68220202020202,0.84110101010101
1216,13,130,3000,0.690136523886873,0.856666666666667,0.254375395141603,0.834380549593907,0.668761099187813,0.834380549593907,0.848,0.254298577731557,0.832131313131313,0.664262626262626,0.832131313131313
1217,14,130,3000,0.652945655837611,0.868,0.244206814750928,0.834366115389471,0.668732230778942,0.834366115389471,0.858666666666667,0.248351650647308,0.833020202020202,0.666040404040404,0.833020202020202
